"network_id" "kind" "n_patch" "rep" "mu" "k_sd" "alpha" "alpha.out" "beta" "eigen.ratio" "R_init" "R" "x_bar" "x_reduced"
"11" "ER_6" "Erdos-Renyi" 21 1 0.01 0.075 0.0102984974926209 0.010295340861038 1.01789528997022 1.22250329024762 30.0276923987619 29.3480182654239 29.4171060575212 29.3523506458771
"12" "ER_6" "Erdos-Renyi" 21 1 0.12 0.075 0.123581969911452 0.123544090332455 1.01789528997022 1.22250329024762 30.0276923987619 29.2894112236648 29.2960752254951 29.2308263457612
"13" "ER_6" "Erdos-Renyi" 21 1 0.23 0.075 0.236865442330282 0.236792839803873 1.01789528997022 1.22250329024762 30.0276923987619 29.2305681793714 29.0387403751036 28.9745538628728
"14" "ER_6" "Erdos-Renyi" 21 1 0.34 0.075 0.350148914749114 0.350041589275291 1.01789528997022 1.22250329024762 30.0276923987619 29.1714862583223 28.6890203406264 28.6331718332191
"15" "ER_6" "Erdos-Renyi" 21 1 0.45 0.075 0.463432387167945 0.463290338746708 1.01789528997022 1.22250329024762 30.0276923987619 29.1121625274772 28.2740257628541 28.2410868651004
"16" "ER_6" "Erdos-Renyi" 21 1 0.56 0.075 0.576715859586775 0.576539088218126 1.01789528997022 1.22250329024762 30.0276923987619 29.052593993278 27.8305950857162 27.8370770307693
"17" "ER_6" "Erdos-Renyi" 21 1 0.67 0.075 0.689999332005603 0.689787837689543 1.01789528997022 1.22250329024762 30.0276923987619 28.9927775998856 27.4449047157981 27.4874114134634
"18" "ER_6" "Erdos-Renyi" 21 1 0.78 0.075 0.803282804424435 0.803036587160961 1.01789528997022 1.22250329024762 30.0276923987619 28.9327102273515 27.1584098878502 27.2217064485756
"19" "ER_6" "Erdos-Renyi" 21 1 0.89 0.075 0.916566276843267 0.916285336632378 1.01789528997022 1.22250329024762 30.0276923987619 28.8723886897179 26.9365019894746 27.0124991057549
"110" "ER_6" "Erdos-Renyi" 21 1 1 0.075 1.02984974926209 1.0295340861038 1.01789528997022 1.22250329024762 30.0276923987619 28.8118097330461 26.7528223382303 26.8382515074378
"111" "ER_6" "Erdos-Renyi" 21 2 0.01 0.075 0.0102984974926209 0.010295340861038 1.01789528997022 1.22250329024762 30.4520132245132 30.178366520107 30.23023648836 30.183093676377
"112" "ER_6" "Erdos-Renyi" 21 2 0.12 0.075 0.123581969911452 0.123544090332455 1.01789528997022 1.22250329024762 30.4520132245132 30.1181012997821 30.1300804310071 30.0864220613579
"113" "ER_6" "Erdos-Renyi" 21 2 0.23 0.075 0.236865442330282 0.236792839803873 1.01789528997022 1.22250329024762 30.4520132245132 30.0575933996648 29.9206557832617 29.8854161821473
"114" "ER_6" "Erdos-Renyi" 21 2 0.34 0.075 0.350148914749114 0.350041589275291 1.01789528997022 1.22250329024762 30.4520132245132 29.9968398642129 29.643726136953 29.6245697657691
"115" "ER_6" "Erdos-Renyi" 21 2 0.45 0.075 0.463432387167945 0.463290338746708 1.01789528997022 1.22250329024762 30.4520132245132 29.9358376774011 29.3210130003468 29.3277869362705
"116" "ER_6" "Erdos-Renyi" 21 2 0.56 0.075 0.576715859586775 0.576539088218126 1.01789528997022 1.22250329024762 30.4520132245132 29.874583760974 28.974332199961 29.015037152234
"117" "ER_6" "Erdos-Renyi" 21 2 0.67 0.075 0.689999332005603 0.689787837689543 1.01789528997022 1.22250329024762 30.4520132245132 29.8130749726334 28.647403347679 28.7198317175726
"118" "ER_6" "Erdos-Renyi" 21 2 0.78 0.075 0.803282804424435 0.803036587160961 1.01789528997022 1.22250329024762 30.4520132245132 29.7513081041573 28.3758888219635 28.4697468532505
"119" "ER_6" "Erdos-Renyi" 21 2 0.89 0.075 0.916566276843267 0.916285336632378 1.01789528997022 1.22250329024762 30.4520132245132 29.6892798794472 28.1544687485262 28.2617586263711
"120" "ER_6" "Erdos-Renyi" 21 2 1 0.075 1.02984974926209 1.0295340861038 1.01789528997022 1.22250329024762 30.4520132245132 29.6269869525002 27.9681312035534 28.0847065089407
"121" "ER_6" "Erdos-Renyi" 21 3 0.01 0.075 0.0102984974926209 0.010295340861038 1.01789528997022 1.22250329024762 30.818429243545 30.0224139284518 30.2158478060818 30.0282189514182
"122" "ER_6" "Erdos-Renyi" 21 3 0.12 0.075 0.123581969911452 0.123544090332455 1.01789528997022 1.22250329024762 30.818429243545 29.9624601404004 30.0926960721853 29.9203761385144
"123" "ER_6" "Erdos-Renyi" 21 3 0.23 0.075 0.236865442330282 0.236792839803873 1.01789528997022 1.22250329024762 30.818429243545 29.9022649266518 29.8332656104448 29.6794624383217
"124" "ER_6" "Erdos-Renyi" 21 3 0.34 0.075 0.350148914749114 0.350041589275291 1.01789528997022 1.22250329024762 30.818429243545 29.841825346937 29.4741810633006 29.3500489517547
"125" "ER_6" "Erdos-Renyi" 21 3 0.45 0.075 0.463432387167945 0.463290338746708 1.01789528997022 1.22250329024762 30.818429243545 29.7811384008167 29.0172381127822 28.9449769143909
"126" "ER_6" "Erdos-Renyi" 21 3 0.56 0.075 0.576715859586775 0.576539088218126 1.01789528997022 1.22250329024762 30.818429243545 29.7202010259429 28.4893657543229 28.489835565421
"127" "ER_6" "Erdos-Renyi" 21 3 0.67 0.075 0.689999332005603 0.689787837689543 1.01789528997022 1.22250329024762 30.818429243545 29.6590100962559 28.0910377641404 28.1338169038046
"128" "ER_6" "Erdos-Renyi" 21 3 0.78 0.075 0.803282804424435 0.803036587160961 1.01789528997022 1.22250329024762 30.818429243545 29.5975624201129 27.8192902205047 27.8786740536318
"129" "ER_6" "Erdos-Renyi" 21 3 0.89 0.075 0.916566276843267 0.916285336632378 1.01789528997022 1.22250329024762 30.818429243545 29.5358547383451 27.6060321197405 27.6743593553585
"130" "ER_6" "Erdos-Renyi" 21 3 1 0.075 1.02984974926209 1.0295340861038 1.01789528997022 1.22250329024762 30.818429243545 29.4738837222409 27.4260805749517 27.5010857320536
