"network_id" "kind" "n_patch" "rep" "mu" "k_sd" "alpha" "alpha.out" "beta" "eigen.ratio" "R_init" "R" "x_bar" "x_reduced"
"11" "RGG_11" "RGG" 42 1 0.01 0 0.0100548579435355 0.0100608371584472 1.00530313909008 1.09810193052809 29.371238572059 29.9982198973627 29.999645354283 29.9994692599484
"12" "RGG_11" "RGG" 42 1 0.12 0 0.120658295322425 0.120730045901367 1.00530313909008 1.0981019305281 29.371238572059 29.9786248058946 29.9593413890869 29.9573403794322
"13" "RGG_11" "RGG" 42 1 0.23 0 0.231261732701316 0.231399254644287 1.00530313909008 1.0981019305281 29.371238572059 29.9590040464557 29.8751645372004 29.8709436274413
"14" "RGG_11" "RGG" 42 1 0.34 0 0.341865170080205 0.342068463387206 1.00530313909008 1.09810193052809 29.371238572059 29.939357517912 29.7654890362024 29.7583836115566
"15" "RGG_11" "RGG" 42 1 0.45 0 0.452468607459094 0.452737672130126 1.00530313909008 1.0981019305281 29.371238572059 29.9196851184637 29.6407279145496 29.6302507176731
"16" "RGG_11" "RGG" 42 1 0.56 0 0.563072044837986 0.563406880873046 1.00530313909008 1.0981019305281 29.371238572059 29.8999867456393 29.508392648553 29.4945057612712
"17" "RGG_11" "RGG" 42 1 0.67 0 0.673675482216873 0.674076089615965 1.00530313909008 1.09810193052809 29.371238572059 29.8802622962883 29.3745668504675 29.35777123193
"18" "RGG_11" "RGG" 42 1 0.78 0 0.784278919595766 0.784745298358885 1.00530313909008 1.0981019305281 29.371238572059 29.8605116665765 29.2439480961957 29.2251740743585
"19" "RGG_11" "RGG" 42 1 0.89 0 0.894882356974655 0.895414507101804 1.00530313909008 1.09810193052809 29.371238572059 29.8407347519781 29.1196011335548 29.0999849368655
"110" "RGG_11" "RGG" 42 1 1 0 1.00548579435354 1.00608371584472 1.00530313909008 1.0981019305281 29.371238572059 29.8209314472703 29.0030498197317 28.983723476904
"111" "RGG_11" "RGG" 42 2 0.01 0 0.0100548579435355 0.0100608371584472 1.00530313909008 1.09810193052809 30.95482717519 29.9982198973627 29.999645354283 29.9994692599484
"112" "RGG_11" "RGG" 42 2 0.12 0 0.120658295322425 0.120730045901367 1.00530313909008 1.0981019305281 30.95482717519 29.9786248058946 29.9593413890869 29.9573403794322
"113" "RGG_11" "RGG" 42 2 0.23 0 0.231261732701316 0.231399254644287 1.00530313909008 1.0981019305281 30.95482717519 29.9590040464557 29.8751645372004 29.8709436274413
"114" "RGG_11" "RGG" 42 2 0.34 0 0.341865170080205 0.342068463387206 1.00530313909008 1.09810193052809 30.95482717519 29.939357517912 29.7654890362024 29.7583836115566
"115" "RGG_11" "RGG" 42 2 0.45 0 0.452468607459094 0.452737672130126 1.00530313909008 1.0981019305281 30.95482717519 29.9196851184637 29.6407279145496 29.6302507176731
"116" "RGG_11" "RGG" 42 2 0.56 0 0.563072044837986 0.563406880873046 1.00530313909008 1.0981019305281 30.95482717519 29.8999867456393 29.508392648553 29.4945057612712
"117" "RGG_11" "RGG" 42 2 0.67 0 0.673675482216873 0.674076089615965 1.00530313909008 1.09810193052809 30.95482717519 29.8802622962883 29.3745668504675 29.35777123193
"118" "RGG_11" "RGG" 42 2 0.78 0 0.784278919595766 0.784745298358885 1.00530313909008 1.0981019305281 30.95482717519 29.8605116665765 29.2439480961957 29.2251740743585
"119" "RGG_11" "RGG" 42 2 0.89 0 0.894882356974655 0.895414507101804 1.00530313909008 1.09810193052809 30.95482717519 29.8407347519781 29.1196011335548 29.0999849368655
"120" "RGG_11" "RGG" 42 2 1 0 1.00548579435354 1.00608371584472 1.00530313909008 1.0981019305281 30.95482717519 29.8209314472703 29.0030498197317 28.983723476904
"121" "RGG_11" "RGG" 42 3 0.01 0 0.0100548579435355 0.0100608371584472 1.00530313909008 1.09810193052809 29.8046044537709 29.9982198973627 29.999645354283 29.9994692599484
"122" "RGG_11" "RGG" 42 3 0.12 0 0.120658295322425 0.120730045901367 1.00530313909008 1.0981019305281 29.8046044537709 29.9786248058946 29.9593413890869 29.9573403794322
"123" "RGG_11" "RGG" 42 3 0.23 0 0.231261732701316 0.231399254644287 1.00530313909008 1.0981019305281 29.8046044537709 29.9590040464557 29.8751645372004 29.8709436274413
"124" "RGG_11" "RGG" 42 3 0.34 0 0.341865170080205 0.342068463387206 1.00530313909008 1.09810193052809 29.8046044537709 29.939357517912 29.7654890362024 29.7583836115566
"125" "RGG_11" "RGG" 42 3 0.45 0 0.452468607459094 0.452737672130126 1.00530313909008 1.0981019305281 29.8046044537709 29.9196851184637 29.6407279145496 29.6302507176731
"126" "RGG_11" "RGG" 42 3 0.56 0 0.563072044837986 0.563406880873046 1.00530313909008 1.0981019305281 29.8046044537709 29.8999867456393 29.508392648553 29.4945057612712
"127" "RGG_11" "RGG" 42 3 0.67 0 0.673675482216873 0.674076089615965 1.00530313909008 1.09810193052809 29.8046044537709 29.8802622962883 29.3745668504675 29.35777123193
"128" "RGG_11" "RGG" 42 3 0.78 0 0.784278919595766 0.784745298358885 1.00530313909008 1.0981019305281 29.8046044537709 29.8605116665765 29.2439480961957 29.2251740743585
"129" "RGG_11" "RGG" 42 3 0.89 0 0.894882356974655 0.895414507101804 1.00530313909008 1.09810193052809 29.8046044537709 29.8407347519781 29.1196011335548 29.0999849368655
"130" "RGG_11" "RGG" 42 3 1 0 1.00548579435354 1.00608371584472 1.00530313909008 1.0981019305281 29.8046044537709 29.8209314472703 29.0030498197317 28.983723476904
